Time,x_d,y_d,theta_d,v_r_d,v_l_d
0,0,0,-0,0.076969,0.13247
0.050042,0.00524,-1.4e-05,-0.005241,0.076961,0.13247
0.100083,0.01048,-5.5e-05,-0.010482,0.076938,0.132467
0.150125,0.015718,-0.000124,-0.015727,0.076899,0.132463
0.200167,0.020955,-0.00022,-0.020975,0.076845,0.132456
0.250209,0.02619,-0.000343,-0.026229,0.076775,0.132449
0.30025,0.031421,-0.000494,-0.031489,0.07669,0.132439
0.350292,0.03665,-0.000673,-0.036757,0.07659,0.132428
0.400334,0.041874,-0.000879,-0.042034,0.076473,0.132415
0.450375,0.047093,-0.001112,-0.047321,0.076342,0.132401
0.500417,0.052308,-0.001373,-0.05262,0.076194,0.132385
0.550459,0.057516,-0.001661,-0.057932,0.076032,0.132367
0.6005,0.062719,-0.001977,-0.063259,0.075853,0.132348
0.650542,0.067914,-0.00232,-0.068601,0.075659,0.132328
0.700584,0.073102,-0.00269,-0.07396,0.07545,0.132307
0.750626,0.078282,-0.003088,-0.079338,0.075225,0.132284
0.800667,0.083453,-0.003513,-0.084736,0.074985,0.132261
0.850709,0.088615,-0.003966,-0.090154,0.074728,0.132236
0.900751,0.093768,-0.004445,-0.095596,0.074457,0.132211
0.950792,0.09891,-0.004953,-0.101061,0.074169,0.132184
1.000834,0.104041,-0.005487,-0.106551,0.073866,0.132157
1.050876,0.109161,-0.006049,-0.112069,0.073548,0.13213
1.100917,0.114269,-0.006638,-0.117614,0.073213,0.132102
1.150959,0.119364,-0.007255,-0.12319,0.072863,0.132074
1.201001,0.124446,-0.007898,-0.128796,0.072498,0.132045
1.251043,0.129515,-0.008569,-0.134435,0.072116,0.132017
1.301084,0.134569,-0.009268,-0.140108,0.071719,0.131989
1.351126,0.139609,-0.009993,-0.145817,0.071306,0.131961
1.401168,0.144633,-0.010746,-0.151562,0.070877,0.131933
1.451209,0.149641,-0.011525,-0.157347,0.070433,0.131907
1.501251,0.154633,-0.012332,-0.163171,0.069972,0.131881
1.551293,0.159608,-0.013166,-0.169038,0.069496,0.131856
1.601334,0.164565,-0.014027,-0.174948,0.069004,0.131832
1.651376,0.169505,-0.014915,-0.180902,0.068496,0.131809
1.701418,0.174425,-0.015831,-0.186904,0.067973,0.131789
1.75146,0.179327,-0.016773,-0.192954,0.067433,0.13177
1.801501,0.184208,-0.017742,-0.199054,0.066877,0.131753
1.851543,0.18907,-0.018738,-0.205205,0.066306,0.131738
1.901585,0.193911,-0.019762,-0.21141,0.065718,0.131726
1.951626,0.19873,-0.020812,-0.21767,0.065114,0.131716
2.001668,0.203528,-0.021889,-0.223988,0.064495,0.131709
2.05171,0.208303,-0.022993,-0.230364,0.063859,0.131706
2.101751,0.213056,-0.024123,-0.2368,0.063207,0.131706
2.151793,0.217785,-0.025281,-0.243299,0.06254,0.131709
2.201835,0.22249,-0.026465,-0.249862,0.061856,0.131717
2.251877,0.22717,-0.027676,-0.256492,0.061156,0.131729
2.301918,0.231826,-0.028914,-0.26319,0.06044,0.131745
2.35196,0.236456,-0.030178,-0.269958,0.059708,0.131766
2.402002,0.241061,-0.031469,-0.276798,0.05896,0.131792
2.452043,0.245638,-0.032787,-0.283712,0.058196,0.131823
2.502085,0.250189,-0.034131,-0.290702,0.057415,0.13186
2.552127,0.254712,-0.035501,-0.29777,0.056619,0.131903
2.602168,0.259208,-0.036899,-0.304919,0.055806,0.131953
2.65221,0.263675,-0.038322,-0.31215,0.054978,0.132008
2.702252,0.268112,-0.039772,-0.319466,0.054133,0.132071
2.752294,0.272521,-0.041249,-0.326869,0.053273,0.13214
2.802335,0.276899,-0.042751,-0.33436,0.052396,0.132218
2.852377,0.281248,-0.04428,-0.341943,0.051504,0.132302
2.902419,0.285565,-0.045835,-0.349619,0.050596,0.132395
2.95246,0.289851,-0.047417,-0.35739,0.049672,0.132496
3.002502,0.294105,-0.049024,-0.36526,0.048732,0.132606
3.052544,0.298326,-0.050658,-0.373229,0.047777,0.132725
3.102585,0.302515,-0.052318,-0.381302,0.046806,0.132853
3.152627,0.306671,-0.054004,-0.389479,0.04582,0.132991
3.202669,0.310793,-0.055716,-0.397764,0.044818,0.133139
3.252711,0.314881,-0.057453,-0.406158,0.043801,0.133297
3.302752,0.318934,-0.059217,-0.414665,0.04277,0.133465
3.352794,0.322952,-0.061006,-0.423285,0.041723,0.133644
3.402836,0.326935,-0.062822,-0.432023,0.040662,0.133834
3.452877,0.330882,-0.064663,-0.44088,0.039587,0.134035
3.502919,0.334792,-0.066529,-0.449859,0.038497,0.134247
3.552961,0.338666,-0.068421,-0.458962,0.037394,0.134472
